Parameters : 

                   

PopulationSize = 30

MaxRules = 60

MaxGenerations = 1000

MutationRate = 0.1

BidPercentage = 0.05

RewardAmount = 2

RepeatCount = 20

TaxRate = 0.15

NegativeRewardFactor = 1.25

StrengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: 01#1## Action: 1 Strength: 26.2414

Condition: 11###1 Action: 1 Strength: 22.0862

Condition: #1#### Action: 0 Strength: 20.7299

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: #1#### Action: 1 Strength: 23.4857

Condition: 11#1## Action: 1 Strength: 23.4857

Condition: 01#### Action: 0 Strength: 23.4857

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: ###### Action: 1 Strength: 23.4857

Condition: 0###0# Action: 1 Strength: 20.7316

Condition: #1#1## Action: 1 Strength: 20.7316

Condition: 010##1 Action: 0 Strength: 24.1638

Condition: 11#### Action: 1 Strength: 24.1638

Condition: #101## Action: 0 Strength: 23.4857

Condition: 01#### Action: 1 Strength: 23.4857

Condition: 11#### Action: 0 Strength: 21.408

Condition: 11###1 Action: 1 Strength: 21.408

Condition: 01#### Action: 0 Strength: 23.4857

Condition: #0#### Action: 1 Strength: 23.4857

ALL RULES 

Rule 1: Condition = 01#1##, Action = 1, Strength = 26.2414

Rule 2: Condition = 11###1, Action = 1, Strength = 22.0862

Rule 3: Condition = #1####, Action = 0, Strength = 20.7299

Rule 4: Condition = #01##1, Action = 1, Strength = 15.4672

Rule 5: Condition = ####0#, Action = 0, Strength = 15.2218

Rule 6: Condition = 1#####, Action = 1, Strength = 12.4866

Rule 7: Condition = 0##0##, Action = 0, Strength = 9.72807

Rule 8: Condition = 0##1##, Action = 0, Strength = 9.61814

Rule 9: Condition = 11####, Action = 0, Strength = 0.975723

Rule 10: Condition = 11####, Action = 0, Strength = 0.943826

Rule 11: Condition = 11###1, Action = 0, Strength = 0.89714

Rule 12: Condition = 01#1##, Action = 0, Strength = 23.4857

Rule 13: Condition = #1####, Action = 1, Strength = 23.4857

Rule 14: Condition = 11#1##, Action = 1, Strength = 23.4857

Rule 15: Condition = 01####, Action = 0, Strength = 23.4857

Rule 16: Condition = 100###, Action = 0, Strength = 0.85982

Rule 17: Condition = 11#0##, Action = 0, Strength = 0.85982

Rule 18: Condition = 01#1##, Action = 0, Strength = 23.4857

Rule 19: Condition = ######, Action = 1, Strength = 23.4857

Rule 20: Condition = 11####, Action = 1, Strength = 15.9071

Rule 21: Condition = 0##011, Action = 0, Strength = 15.9071

