Parameters : 

                   

PopulationSize = 30

MaxRules = 60

MaxGenerations = 6000

MutationRate = 0.1

BidPercentage = 0.05

RewardAmount = 2

RepeatCount = 20

TaxRate = 0.15

NegativeRewardFactor = 1.25

StrengthThreshold = 25

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: 10##1# Action: 1 Strength: 25.9377

Condition: 11###1 Action: 1 Strength: 25.5343

Condition: #1#0## Action: 0 Strength: 25.0047

Condition: 10###1 Action: 1 Strength: 25.5343

Condition: 11###1 Action: 1 Strength: 25.5343

Condition: #0##1# Action: 0 Strength: 25.4712

Condition: 111### Action: 1 Strength: 25.4712

Condition: 00###0 Action: 1 Strength: 25.736

Condition: 11##1# Action: 1 Strength: 25.736

Condition: #1#0## Action: 0 Strength: 25.0047

Condition: #1#011 Action: 0 Strength: 25.0047

ALL RULES 

Rule 1: Condition = 10##1#, Action = 1, Strength = 25.9377

Rule 2: Condition = 11###1, Action = 1, Strength = 25.5343

Rule 3: Condition = #1#0##, Action = 0, Strength = 25.0047

Rule 4: Condition = 10####, Action = 0, Strength = 24.4176

Rule 5: Condition = 0#1###, Action = 1, Strength = 22.2989

Rule 6: Condition = 11#1##, Action = 0, Strength = 20.4996

Rule 7: Condition = ###0##, Action = 0, Strength = 19.5698

Rule 8: Condition = 0#####, Action = 0, Strength = 10.3745

Rule 9: Condition = #1##1#, Action = 1, Strength = 9.26347

Rule 10: Condition = 01####, Action = 1, Strength = 0.942356

Rule 11: Condition = 10##1#, Action = 0, Strength = 0.920679

Rule 12: Condition = 1##0##, Action = 0, Strength = 0.914648

Rule 13: Condition = 11#1##, Action = 1, Strength = 24.9759

Rule 14: Condition = 10###1, Action = 0, Strength = 24.9759

Rule 15: Condition = 00##01, Action = 1, Strength = 23.9166

Rule 16: Condition = 1#1##0, Action = 1, Strength = 23.9166

Rule 17: Condition = 01#0##, Action = 1, Strength = 23.6518

Rule 18: Condition = ##1###, Action = 1, Strength = 23.6518

Rule 19: Condition = #01##1, Action = 0, Strength = 24.7112

Rule 20: Condition = 11#1##, Action = 0, Strength = 24.7112

Rule 21: Condition = 10###1, Action = 1, Strength = 25.5343

Rule 22: Condition = 11###1, Action = 1, Strength = 25.5343

Rule 23: Condition = #1##1#, Action = 1, Strength = 17.6006

Rule 24: Condition = 10##1#, Action = 0, Strength = 17.6006

Rule 25: Condition = 11#1##, Action = 1, Strength = 13.0436

Rule 26: Condition = 01###1, Action = 1, Strength = 13.0436

Rule 27: Condition = #0##1#, Action = 0, Strength = 25.4712

Rule 28: Condition = 111###, Action = 1, Strength = 25.4712

Rule 29: Condition = ###0##, Action = 0, Strength = 13.1354

Rule 30: Condition = 11####, Action = 1, Strength = 13.1354

Rule 31: Condition = 10####, Action = 0, Strength = 17.396

Rule 32: Condition = 0#####, Action = 0, Strength = 17.396

Rule 33: Condition = 1##0##, Action = 1, Strength = 21.9937

Rule 34: Condition = ######, Action = 0, Strength = 21.9937

Rule 35: Condition = 10##1#, Action = 1, Strength = 18.1561

Rule 36: Condition = 0#0###, Action = 0, Strength = 18.1561

Rule 37: Condition = 00###0, Action = 1, Strength = 25.736

Rule 38: Condition = 11##1#, Action = 1, Strength = 25.736

Rule 39: Condition = #1#0#0, Action = 0, Strength = 22.2873

Rule 40: Condition = ###00#, Action = 0, Strength = 22.2873

Rule 41: Condition = ###0##, Action = 0, Strength = 21.9937

Rule 42: Condition = 10#0##, Action = 0, Strength = 21.9937

Rule 43: Condition = ####01, Action = 0, Strength = 22.5521

Rule 44: Condition = 11#0##, Action = 1, Strength = 22.5521

