Parameters : 

                   

populationSize30

maxRules = 50

maxGenerations = 1000

mutationRate = 0.15

bidPercentage = 0.08

rewardAmount = 2.2

repeatCount = 15

taxRate = 0.18

negativeRewardFactor = 0.7

strengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 001###, Action = 1, Strength = 18.9531

Rule 2: Condition = 01#1##, Action = 1, Strength = 18.9531

Rule 3: Condition = 1###00, Action = 0, Strength = 18.9531

Rule 4: Condition = 11###1, Action = 1, Strength = 18.9531

Rule 5: Condition = 000###, Action = 0, Strength = 18.9531

Rule 6: Condition = 0011##, Action = 1, Strength = 1.09395

Rule 7: Condition = #0#1##, Action = 1, Strength = 1.09395

Rule 8: Condition = 1#10##, Action = 0, Strength = 9.94705

Rule 9: Condition = 0##100, Action = 1, Strength = 9.94705

Rule 10: Condition = 11#1##, Action = 1, Strength = 18.9531

Rule 11: Condition = 0#1#00, Action = 0, Strength = 18.9531

Rule 12: Condition = #01##0, Action = 1, Strength = 18.9531

Rule 13: Condition = 000###, Action = 0, Strength = 18.9531

Rule 14: Condition = 01####, Action = 1, Strength = 18.9531

Rule 15: Condition = 1010#0, Action = 1, Strength = 18.9531

Rule 16: Condition = 0####1, Action = 1, Strength = 18.9531

Rule 17: Condition = 0#1###, Action = 1, Strength = 18.9531

Rule 18: Condition = 11###0, Action = 1, Strength = 18.9531

Rule 19: Condition = 11###1, Action = 1, Strength = 18.9531

Rule 20: Condition = 01#1#1, Action = 1, Strength = 18.9531

Rule 21: Condition = 000###, Action = 0, Strength = 18.9531

Rule 22: Condition = 001###, Action = 0, Strength = 10.9797

Rule 23: Condition = 1##1##, Action = 1, Strength = 10.9797

Rule 24: Condition = 0###00, Action = 0, Strength = 14.7809

Rule 25: Condition = #00###, Action = 0, Strength = 14.7809

Rule 26: Condition = 110##1, Action = 0, Strength = 9.72904

Rule 27: Condition = 1#1100, Action = 0, Strength = 9.72904

Rule 28: Condition = 001###, Action = 1, Strength = 9.94705

Rule 29: Condition = 001##0, Action = 0, Strength = 9.94705

Rule 30: Condition = 000##0, Action = 0, Strength = 9.94705

Rule 31: Condition = 001#1#, Action = 1, Strength = 9.94705

Rule 32: Condition = 001###, Action = 1, Strength = 9.95681

Rule 33: Condition = 10#0##, Action = 0, Strength = 9.95681

Rule 34: Condition = 0#####, Action = 0, Strength = 18.9531

