Parameters : 

                   

populationSize = 30

maxRules = 60

maxGenerations = 2000

mutationRate = 0.7

bidPercentage = 0.05

rewardAmount = 1.5

repeatCount = 20

taxRate = 0.15

negativeRewardFactor = 0.6

strengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = #01#1#, Action = 1, Strength = 19.6811

Rule 2: Condition = 01#1##, Action = 1, Strength = 19.6811

Rule 3: Condition = 1###00, Action = 0, Strength = 19.676

Rule 4: Condition = 11###1, Action = 1, Strength = 18.5575

Rule 5: Condition = #1#0##, Action = 0, Strength = 17.7161

Rule 6: Condition = #00###, Action = 0, Strength = 13.2429

Rule 7: Condition = 1000#1, Action = 1, Strength = 18.1368

Rule 8: Condition = 00100#, Action = 1, Strength = 18.1368

Rule 9: Condition = 10###0, Action = 1, Strength = 5.61817

Rule 10: Condition = 00###1, Action = 1, Strength = 5.61817

Rule 11: Condition = #0#10#, Action = 0, Strength = 19.1193

Rule 12: Condition = #011#1, Action = 1, Strength = 19.1193

Rule 13: Condition = 0##110, Action = 1, Strength = 15.1225

Rule 14: Condition = 00101#, Action = 1, Strength = 15.1225

Rule 15: Condition = 11#101, Action = 0, Strength = 18.1368

Rule 16: Condition = 011111, Action = 1, Strength = 18.1368

Rule 17: Condition = 00#101, Action = 1, Strength = 10.5689

Rule 18: Condition = 1110##, Action = 1, Strength = 10.5689

Rule 19: Condition = 00#111, Action = 1, Strength = 19.676

Rule 20: Condition = 110##1, Action = 1, Strength = 19.676

Rule 21: Condition = #1###0, Action = 1, Strength = 15.4795

Rule 22: Condition = 0##010, Action = 1, Strength = 15.4795

Rule 23: Condition = #01##1, Action = 1, Strength = 19.1193

Rule 24: Condition = 01##0#, Action = 0, Strength = 19.1193

Rule 25: Condition = 1100#1, Action = 1, Strength = 10.3527

Rule 26: Condition = 1##0##, Action = 1, Strength = 10.3527

Rule 27: Condition = 1001#1, Action = 0, Strength = 19.6811

Rule 28: Condition = #101#1, Action = 0, Strength = 19.6811

Rule 29: Condition = ##1#01, Action = 1, Strength = 9.05543

Rule 30: Condition = 00000#, Action = 1, Strength = 9.05543

Rule 31: Condition = 10#10#, Action = 1, Strength = 19.6786

Rule 32: Condition = ###0##, Action = 0, Strength = 19.6786

Rule 33: Condition = 01000#, Action = 0, Strength = 18.6986

Rule 34: Condition = #011#1, Action = 1, Strength = 18.6986

Rule 35: Condition = 1##11#, Action = 1, Strength = 16.4595

Rule 36: Condition = 010#01, Action = 0, Strength = 16.4595

Rule 37: Condition = 100##1, Action = 0, Strength = 19.676

Rule 38: Condition = #100##, Action = 0, Strength = 19.676

Rule 39: Condition = 0##1#1, Action = 0, Strength = 4.33343

Rule 40: Condition = 110###, Action = 0, Strength = 4.33343

Rule 41: Condition = 0#0010, Action = 0, Strength = 13.8859

Rule 42: Condition = 010100, Action = 1, Strength = 13.8859

Rule 43: Condition = 00#11#, Action = 0, Strength = 19.6811

Rule 44: Condition = 100#00, Action = 0, Strength = 19.6811

Rule 45: Condition = #1#111, Action = 1, Strength = 5.54885

Rule 46: Condition = 100110, Action = 0, Strength = 5.54885

Rule 47: Condition = 000101, Action = 1, Strength = 13.1987

Rule 48: Condition = 11####, Action = 0, Strength = 13.1987

Rule 49: Condition = 00#1#1, Action = 0, Strength = 19.1193

Rule 50: Condition = #11###, Action = 0, Strength = 19.1193

Rule 51: Condition = 11011#, Action = 1, Strength = 17.7161

Rule 52: Condition = #0##01, Action = 1, Strength = 17.7161

Rule 53: Condition = 0###01, Action = 0, Strength = 10.0932

Rule 54: Condition = 0#0#11, Action = 1, Strength = 10.0932

Rule 55: Condition = 0#000#, Action = 1, Strength = 18.6961

Rule 56: Condition = 1#0111, Action = 1, Strength = 18.6961

Rule 57: Condition = #010##, Action = 1, Strength = 8.64256

Rule 58: Condition = 00##11, Action = 1, Strength = 8.64256

Rule 59: Condition = 1#0#10, Action = 1, Strength = 16.462

Rule 60: Condition = ##0##1, Action = 1, Strength = 16.462


Final Accuracy: 71.875%

Run : 1

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 01#1##, Action = 1, Strength = 19.6811

Rule 2: Condition = 0#00##, Action = 0, Strength = 19.6811

Rule 3: Condition = 1###00, Action = 0, Strength = 19.6811

Rule 4: Condition = #01#1#, Action = 1, Strength = 19.6811

Rule 5: Condition = 11#0#1, Action = 1, Strength = 15.3748

Rule 6: Condition = 11##10, Action = 0, Strength = 15.3488

Rule 7: Condition = 1#1010, Action = 0, Strength = 19.6811

Rule 8: Condition = 10#0#1, Action = 0, Strength = 19.6811

Rule 9: Condition = 0#1##1, Action = 1, Strength = 15.0509

Rule 10: Condition = #101##, Action = 0, Strength = 15.0509

Rule 11: Condition = 0#10##, Action = 0, Strength = 15.3748

Rule 12: Condition = #1#100, Action = 0, Strength = 15.3748

Rule 13: Condition = 11#11#, Action = 1, Strength = 17.5149

