Parameters : 

                   

populationSize = 50

maxRules = 60

maxGenerations = 1500

mutationRate = 0.07

bidPercentage = 0.05

rewardAmount = 2

repeatCount = 20

taxRate = 0.15

negativeRewardFactor = 0.75

strengthThreshold = 19

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: #01#1# Action: 1 Strength: 26.2415

Condition: #00#0# Action: 0 Strength: 26.2415

Condition: 000#0# Action: 1 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 21.2848

Condition: #01#1# Action: 1 Strength: 21.2848

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #01#1# Action: 1 Strength: 22.2173

Condition: #00#11 Action: 1 Strength: 26.2415

Condition: #01#0# Action: 0 Strength: 26.2415

Condition: #00#1# Action: 0 Strength: 26.2415

Condition: #01#1# Action: 1 Strength: 26.2415

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #0##0# Action: 0 Strength: 22.2173

ALL RULES 

Rule 1: Condition = #01#1#, Action = 1, Strength = 26.2415

Rule 2: Condition = #00#0#, Action = 0, Strength = 26.2415

Rule 3: Condition = 001#0#, Action = 1, Strength = 18.1932

Rule 4: Condition = #01#0#, Action = 0, Strength = 16.3281

Rule 5: Condition = #11#0#, Action = 1, Strength = 11.1971

Rule 6: Condition = ##0###, Action = 1, Strength = 10.8064

Rule 7: Condition = #0101#, Action = 1, Strength = 18.3064

Rule 8: Condition = ##0#1#, Action = 1, Strength = 18.3064

Rule 9: Condition = 000#0#, Action = 1, Strength = 22.2173

Rule 10: Condition = #01#0#, Action = 0, Strength = 22.2173

Rule 11: Condition = #0001#, Action = 1, Strength = 13.6293

Rule 12: Condition = #01#0#, Action = 0, Strength = 13.6293

Rule 13: Condition = #11#0#, Action = 0, Strength = 13.3497

Rule 14: Condition = #01#1#, Action = 1, Strength = 13.3497

Rule 15: Condition = #01#0#, Action = 0, Strength = 8.33265

Rule 16: Condition = 011#0#, Action = 0, Strength = 8.33265

Rule 17: Condition = #01#1#, Action = 1, Strength = 18.3064

Rule 18: Condition = ##1#1#, Action = 1, Strength = 18.3064

Rule 19: Condition = #01#0#, Action = 0, Strength = 21.2848

Rule 20: Condition = #01#1#, Action = 1, Strength = 21.2848

Rule 21: Condition = 001#10, Action = 0, Strength = 9.9912

Rule 22: Condition = 000#0#, Action = 1, Strength = 9.9912

Rule 23: Condition = #00###, Action = 0, Strength = 13.263

Rule 24: Condition = ##0#0#, Action = 1, Strength = 13.263

Rule 25: Condition = #01#1#, Action = 1, Strength = 8.42665

Rule 26: Condition = ##0#1#, Action = 0, Strength = 8.42665

Rule 27: Condition = 001#0#, Action = 1, Strength = 22.2173

Rule 28: Condition = #01#1#, Action = 1, Strength = 22.2173

Rule 29: Condition = ##0#1#, Action = 0, Strength = 18.5239

Rule 30: Condition = #00##0, Action = 1, Strength = 18.5239

Rule 31: Condition = #00#0#, Action = 1, Strength = 13.5576

Rule 32: Condition = #01#0#, Action = 0, Strength = 13.5576

Rule 33: Condition = #00#11, Action = 1, Strength = 26.2415

Rule 34: Condition = #01#0#, Action = 0, Strength = 26.2415

Rule 35: Condition = #00#0#, Action = 0, Strength = 13.4391

Rule 36: Condition = #001##, Action = 1, Strength = 13.4391

Rule 37: Condition = #01#1#, Action = 0, Strength = 18.3064

Rule 38: Condition = #10#0#, Action = 1, Strength = 18.3064

Rule 39: Condition = #11#1#, Action = 1, Strength = 10.7843

Rule 40: Condition = #11#0#, Action = 1, Strength = 10.7843

Rule 41: Condition = #01#0#, Action = 0, Strength = 13.8944

Rule 42: Condition = #01#11, Action = 1, Strength = 13.8944

Rule 43: Condition = #00#1#, Action = 0, Strength = 26.2415

Rule 44: Condition = #01#1#, Action = 1, Strength = 26.2415

Rule 45: Condition = #01#0#, Action = 0, Strength = 18.7193

Rule 46: Condition = #10#0#, Action = 1, Strength = 18.7193

Rule 47: Condition = #01#1#, Action = 1, Strength = 13.5353

Rule 48: Condition = ##1#1#, Action = 1, Strength = 13.5353

Rule 49: Condition = 000###, Action = 1, Strength = 9.23887

Rule 50: Condition = #01#0#, Action = 1, Strength = 9.23887

Rule 51: Condition = #00#1#, Action = 1, Strength = 8.53548

Rule 52: Condition = #01#0#, Action = 0, Strength = 8.53548

Rule 53: Condition = #01#0#, Action = 0, Strength = 8.67259

Rule 54: Condition = #00#0#, Action = 0, Strength = 8.67259

Rule 55: Condition = #01#1#, Action = 1, Strength = 13.263

Rule 56: Condition = #01#10, Action = 0, Strength = 13.263

Rule 57: Condition = #00#0#, Action = 1, Strength = 18.5239

Rule 58: Condition = 0#0###, Action = 1, Strength = 18.5239

Rule 59: Condition = 001#0#, Action = 1, Strength = 22.2173

Rule 60: Condition = #0##0#, Action = 0, Strength = 22.2173


Final Accuracy: 64.0625%

Run : 1

Final High Strength Rules:
Condition: 10##1# Action: 1 Strength: 24.1764

Condition: #00### Action: 0 Strength: 23.1272

Condition: 10##1# Action: 1 Strength: 20.2197

Condition: #0#0## Action: 1 Strength: 20.2197

Condition: #00### Action: 0 Strength: 23.1272

Condition: #10#1# Action: 0 Strength: 23.1272

Condition: #00### Action: 0 Strength: 23.6518

Condition: 101#1# Action: 1 Strength: 23.6518

Condition: #0###1 Action: 0 Strength: 23.6518

Condition: 100#1# Action: 1 Strength: 23.6518

Condition: 100##1 Action: 0 Strength: 23.6518

Condition: #0##1# Action: 1 Strength: 23.6518

Condition: 10##1# Action: 1 Strength: 20.2197

Condition: 10##0# Action: 1 Strength: 20.2197

Condition: 10#### Action: 1 Strength: 23.6518

Condition: #01#1# Action: 1 Strength: 23.6518

ALL RULES 

Rule 1: Condition = 10##1#, Action = 1, Strength = 24.1764

Rule 2: Condition = #00###, Action = 0, Strength = 23.1272

Rule 3: Condition = #0####, Action = 1, Strength = 16.263

Rule 4: Condition = ######, Action = 1, Strength = 12.8536

Rule 5: Condition = 10##0#, Action = 0, Strength = 11.9239

Rule 6: Condition = 00##1#, Action = 1, Strength = 10.6999

Rule 7: Condition = 000##0, Action = 1, Strength = 16.9136

Rule 8: Condition = #0##1#, Action = 0, Strength = 16.9136

Rule 9: Condition = #0####, Action = 1, Strength = 14.5583

Rule 10: Condition = ######, Action = 1, Strength = 14.5583

Rule 11: Condition = #0####, Action = 0, Strength = 18.515

Rule 12: Condition = ####0#, Action = 1, Strength = 18.515

Rule 13: Condition = #01#1#, Action = 1, Strength = 11.9924

Rule 14: Condition = 10####, Action = 0, Strength = 11.9924

Rule 15: Condition = 0###1#, Action = 1, Strength = 11.3119

Rule 16: Condition = 10##0#, Action = 0, Strength = 11.3119

Rule 17: Condition = 11####, Action = 0, Strength = 6.83863

Rule 18: Condition = ######, Action = 1, Strength = 6.83863

Rule 19: Condition = 1#####, Action = 0, Strength = 6.85561

Rule 20: Condition = 100#1#, Action = 1, Strength = 6.85561

Rule 21: Condition = ######, Action = 1, Strength = 14.5583

Rule 22: Condition = #0####, Action = 1, Strength = 14.5583

Rule 23: Condition = 10##1#, Action = 1, Strength = 20.2197

Rule 24: Condition = #0#0##, Action = 1, Strength = 20.2197

Rule 25: Condition = 10##1#, Action = 1, Strength = 12.3741

Rule 26: Condition = ####1#, Action = 1, Strength = 12.3741

Rule 27: Condition = #00###, Action = 0, Strength = 23.1272

Rule 28: Condition = #10#1#, Action = 0, Strength = 23.1272

Rule 29: Condition = 10#10#, Action = 0, Strength = 18.0501

Rule 30: Condition = 10##1#, Action = 1, Strength = 18.0501

Rule 31: Condition = #0##1#, Action = 1, Strength = 8.37172

Rule 32: Condition = 10####, Action = 1, Strength = 8.37172

Rule 33: Condition = #00###, Action = 0, Strength = 23.6518

Rule 34: Condition = 101#1#, Action = 1, Strength = 23.6518

Rule 35: Condition = #0###1, Action = 0, Strength = 23.6518

Rule 36: Condition = 100#1#, Action = 1, Strength = 23.6518

Rule 37: Condition = 10##1#, Action = 1, Strength = 12.3007

Rule 38: Condition = 10####, Action = 0, Strength = 12.3007

Rule 39: Condition = 100##1, Action = 0, Strength = 23.6518

Rule 40: Condition = #0##1#, Action = 1, Strength = 23.6518

Rule 41: Condition = ######, Action = 0, Strength = 8.33816

Rule 42: Condition = 101#1#, Action = 1, Strength = 8.33816

Rule 43: Condition = 10##11, Action = 1, Strength = 18.0501

Rule 44: Condition = 10110#, Action = 0, Strength = 18.0501

Rule 45: Condition = 10####, Action = 1, Strength = 14.0934

Rule 46: Condition = #0####, Action = 0, Strength = 14.0934

