Parameters : 

                   

PopulationSize = 30

MaxRules = 60

MaxGenerations = 3000

MutationRate = 0.11

BidPercentage = 0.05

RewardAmount = 2

RepeatCount = 20

TaxRate = 0.15

NegativeRewardFactor = 1.35

StrengthThreshold = 30

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 10##0#, Action = 0, Strength = 26.2415

Rule 2: Condition = 01#0##, Action = 0, Strength = 26.2414

Rule 3: Condition = 000###, Action = 0, Strength = 26.2414

Rule 4: Condition = 01#1##, Action = 1, Strength = 26.2414

Rule 5: Condition = 11###1, Action = 1, Strength = 26.2414

Rule 6: Condition = #01#1#, Action = 1, Strength = 26.2414

Rule 7: Condition = #1#1##, Action = 0, Strength = 20.4739

Rule 8: Condition = #1#0##, Action = 0, Strength = 18.9728

Rule 9: Condition = ##0###, Action = 1, Strength = 16.0524

Rule 10: Condition = 001##0, Action = 1, Strength = 14.3016

Rule 11: Condition = 00###1, Action = 1, Strength = 14.2913

Rule 12: Condition = 01#0##, Action = 0, Strength = 1.01711

Rule 13: Condition = 0##01#, Action = 1, Strength = 7.59445

Rule 14: Condition = 00###1, Action = 1, Strength = 7.59445

Rule 15: Condition = 0010##, Action = 1, Strength = 20.2715

Rule 16: Condition = 01###0, Action = 1, Strength = 20.2715

Rule 17: Condition = #1#1##, Action = 0, Strength = 22.6072

Rule 18: Condition = 11100#, Action = 1, Strength = 22.6072

Rule 19: Condition = 01#0##, Action = 0, Strength = 23.3577

Rule 20: Condition = #1#1##, Action = 0, Strength = 23.3577

Rule 21: Condition = #10###, Action = 0, Strength = 13.5083

Rule 22: Condition = 01#010, Action = 1, Strength = 13.5083

Rule 23: Condition = 000###, Action = 0, Strength = 26.2414

Rule 24: Condition = 000###, Action = 0, Strength = 26.2414

Rule 25: Condition = 01#0##, Action = 0, Strength = 23.3577

Rule 26: Condition = #1#1##, Action = 0, Strength = 23.3577

Rule 27: Condition = #1#1#1, Action = 0, Strength = 22.6071

Rule 28: Condition = 0##00#, Action = 1, Strength = 22.6071

